country,year,total_cases,total_deaths
Ireland,2020,10099432,452710
Ireland,2021,116925292,1787256
Ireland,2022,553224076,2734241
Ireland,2023,625481096,3303799
Ireland,2024,376740784,2086131
Isle of Man,2020,90862,8533
Isle of Man,2021,1610715,16481
Isle of Man,2022,11836017,36957
Isle of Man,2023,13872920,42340
Isle of Man,2024,8247736,25172
Israel,2020,39870558,327675
Israel,2021,350006805,2408543
Israel,2022,1489692056,3977692
Israel,2023,1760058532,4569924
Israel,2024,1050618086,2757419
Italy,2020,143476869,10301075
Italy,2021,1475632893,43348085
Italy,2022,6645044696,60888431
Italy,2023,9454077785,69515852
Italy,2024,5798464543,42728411
Jamaica,2020,1096466,22491
Jamaica,2021,19875985,443984
Jamaica,2022,50594044,1123596
Jamaica,2023,56691453,1296148
Jamaica,2024,34035648,781563
Japan,2020,17569985,347767
Japan,2021,361911205,4755627
Japan,2022,4659900710,12508130
Japan,2023,12197401662,26533413
Japan,2024,7335375124,16208598
Jersey,2020,144325,7856
Jersey,2021,2475439,26229
Jersey,2022,18640013,46275
Jersey,2023,24224294,58464
Jersey,2024,14406847,34937
Jordan,2020,12899691,157672
Jordan,2021,253789249,3198417
Jordan,2022,598971562,5083951
Jordan,2023,637653905,5154530
Jordan,2024,379098349,3064474
Kazakhstan,2020,25118994,325069
Kazakhstan,2021,219107963,3515839
Kazakhstan,2022,513707962,6914438
Kazakhstan,2023,548024488,6960755
Kazakhstan,2024,326395373,4138624
Kenya,2020,8528375,152251
Kenya,2021,67644274,1305901
Kenya,2022,120600067,2059992
Kenya,2023,125375833,2076317
Kenya,2024,74669607,1234513
Kiribati,2020,0,0
Kiribati,2021,0,0
Kiribati,2022,1060402,4074
Kiribati,2023,1821319,7913
Kiribati,2024,1103445,5208
Kosovo,2020,3717559,111293
Kosovo,2021,41693635,828145
Kosovo,2022,87795425,1143916
Kosovo,2023,99907890,1170168
Kosovo,2024,59518543,697004
Kuwait,2020,20249742,128510
Kuwait,2021,116774047,680357
Kuwait,2022,228602934,930514
Kuwait,2023,242908362,938050
Kuwait,2024,144775054,557690
Kyrgyzstan,2020,0,0
Kyrgyzstan,2021,10535164,111084
Kyrgyzstan,2022,30724992,367121
Kyrgyzstan,2023,32400502,373760
Kyrgyzstan,2024,19302643,222208
Laos,2020,6260,0
Laos,2021,6378350,12807
Laos,2022,70390914,235000
Laos,2023,79732326,244915
Laos,2024,47521278,145607
Latvia,2020,1411389,22648
Latvia,2021,51688206,965571
Latvia,2022,289240109,2308375
Latvia,2023,356015363,2674094
Latvia,2024,212169112,1621133
Lebanon,2020,10392686,88046
Lebanon,2021,190602301,2529222
Lebanon,2022,406636688,3783084
Lebanon,2023,451284541,3978456
Lebanon,2024,269059168,2375499
Lesotho,2020,257003,8888
Lesotho,2021,5163272,146589
Lesotho,2022,12256370,255472
Lesotho,2023,12740536,257987
Lesotho,2024,7841946,153853
Liberia,2020,276442,17140
Liberia,2021,1433674,68197
Liberia,2022,2779166,107044
Liberia,2023,2929093,107310
Liberia,2024,1720810,63798
Libya,2020,7169212,105348
Libya,2021,85491595,1281458
Libya,2022,179390742,2316250
Libya,2023,185142293,2349505
Libya,2024,110077373,1396829
Liechtenstein,2020,102287,1140
Liechtenstein,2021,1210132,21184
Liechtenstein,2022,6163609,29959
Liechtenstein,2023,7833714,31756
Liechtenstein,2024,4681957,19258
Lithuania,2020,4570592,54250
Lithuania,2021,106905653,1615823
Lithuania,2022,404865273,3272732
Lithuania,2023,482467963,3528904
Lithuania,2024,296233535,2126455
Low-income countries,2020,41206392,1212402
Low-income countries,2021,336333594,8847607
Low-income countries,2022,661436099,15457987
Low-income countries,2023,701131593,15844006
Low-income countries,2024,421350446,9443014
Lower-middle-income countries,2020,1613070789,31970677
Lower-middle-income countries,2021,14863169552,243854177
Lower-middle-income countries,2022,31012811087,419979472
Lower-middle-income countries,2023,33434257359,432234985
Lower-middle-income countries,2024,19949756239,257775014
Luxembourg,2020,2706049,31553
Luxembourg,2021,23499653,186541
Luxembourg,2022,101245545,309314
Luxembourg,2023,139104207,363432
Luxembourg,2024,84942954,217000
Macao,2021,0,0
Macao,2022,0,0
Macao,2023,0,0
Madagascar,2020,2661973,35353
Madagascar,2021,13191601,267728
Madagascar,2022,23566618,501485
Madagascar,2023,24893765,519727
Madagascar,2024,14869800,309577
Malawi,2020,960125,28562
